point_id,ts,anchor_ids,ranges,ref
A13B6,1729686567276,"[1, 2, 3, 4, 5]","[57.44, 37.98, 44.56, 29.63, 37.02]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686567771,"[1, 2, 3, 4, 5]","[57.44, nan, 44.42, 29.78, 37.39]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686568252,"[1, 2, 3, 4, 5]","[48.51, nan, 43.98, 29.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686568779,"[1, 2, 3, 4, 5]","[42.95, nan, 44.49, 20.92, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686569339,"[1, 2, 3, 4, 5]","[48.51, 37.83, 44.27, 23.71, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686569867,"[1, 2, 3, 4, 5]","[57.3, nan, 44.42, 29.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686570443,"[1, 2, 3, 4, 5]","[nan, 37.76, 44.42, 30.0, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686570940,"[1, 2, 3, 4, 5]","[51.15, 37.54, nan, 20.78, 37.32]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686571436,"[1, 2, 3, 4, 5]","[48.88, nan, 44.64, 23.63, 37.98]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686571932,"[1, 2, 3, 4, 5]","[45.95, nan, 44.27, 20.92, 38.05]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686572427,"[1, 2, 3, 4, 5]","[45.95, nan, 44.78, 20.85, 38.05]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686572908,"[1, 2, 3, 4, 5]","[46.03, nan, 44.71, 20.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686573372,"[1, 2, 3, 4, 5]","[54.66, nan, 44.49, 20.78, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686573868,"[1, 2, 3, 4, 5]","[45.95, nan, 44.42, 29.78, 37.32]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686574395,"[1, 2, 3, 4, 5]","[57.81, nan, 44.27, 29.93, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686574908,"[1, 2, 3, 4, 5]","[46.1, 37.83, 44.34, nan, 37.54]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686575323,"[1, 2, 3, 4, 5]","[43.03, nan, 44.27, nan, 37.54]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686575932,"[1, 2, 3, 4, 5]","[nan, 37.83, 44.2, 29.78, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686576428,"[1, 2, 3, 4, 5]","[54.73, nan, 44.42, 27.07, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686576924,"[1, 2, 3, 4, 5]","[45.95, nan, 44.27, 29.85, 37.61]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686577339,"[1, 2, 3, 4, 5]","[51.66, nan, 44.27, nan, 37.61]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686577835,"[1, 2, 3, 4, 5]","[42.95, nan, 44.42, 27.07, 37.9]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686578331,"[1, 2, 3, 4, 5]","[46.1, nan, 44.56, 23.71, 37.83]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686578923,"[1, 2, 3, 4, 5]","[54.73, 37.83, 44.49, 23.63, 37.83]","(4.189, 32.995999999999995, 3.348)"
