Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729692144549,24,25.613,6.882,21.464,14.402,11.191,21.726
1729692145315,24,25.375,6.933,21.441,14.167,11.187,21.699
1729692146079,24,25.257,6.597,21.98,14.179,11.234,21.757
1729692146840,24,25.371,6.847,21.109,14.191,11.292,21.8
1729692147612,24,25.375,7.035,21.976,14.117,11.175,21.707
1729692148445,24,25.101,7.191,22.14,14.078,11.074,21.75
1729692149209,24,25.312,7.031,21.781,14.269,11.269,21.765
1729692149984,24,25.441,6.515,22.312,14.101,11.226,21.808
1729692150750,24,25.203,7.027,22.343,14.187,inf,21.644
1729692151519,24,25.242,6.886,21.98,14.117,inf,21.789
1729692152284,24,25.234,6.777,22.937,14.183,inf,21.632
1729692153049,24,inf,6.542,21.648,14.027,11.199,21.636
1729692153817,24,25.156,inf,22.148,14.238,11.257,21.71
1729692154572,24,25.398,6.753,23.125,14.242,11.195,21.746
1729692155338,24,25.269,7.082,22.261,14.292,11.089,21.64
1729692156103,24,25.156,6.941,22.707,14.183,11.273,21.75
1729692156885,24,25.253,6.769,22.296,14.007,11.285,21.761
1729692157644,24,25.406,6.906,22.109,14.07,inf,21.683
1729692158416,24,25.265,6.816,22.574,14.281,11.378,21.667
1729692159184,24,25.343,6.867,22.531,14.132,11.203,21.796
1729692159945,24,25.41,6.996,22.199,14.093,11.261,21.667
1729692160719,24,25.558,6.867,22.656,13.992,11.187,21.664
1729692161497,24,25.449,6.718,21.859,14.191,11.296,21.734
1729692162258,24,25.367,6.886,22.05,13.921,11.148,21.726
1729692163026,24,25.359,6.765,21.937,14.187,11.238,21.628
1729692163791,24,25.257,6.933,21.644,14.195,11.183,21.671
1729692164532,24,25.421,6.964,22.394,14.125,11.218,21.632
1729692165297,24,25.46,6.886,22.609,14.183,11.23,21.722
1729692166060,24,25.496,6.914,22.21,14.148,11.175,21.675
1729692166822,24,25.273,7.074,22.511,14.011,11.218,21.683
1729692167572,24,25.472,6.843,22.519,14.078,12.476,21.628
1729692168334,24,25.324,6.636,22.507,14.148,11.207,21.621
1729692169098,24,25.234,6.882,22.128,14.007,11.23,21.722
1729692169866,24,25.199,6.886,22.183,14.011,11.16,21.691
1729692170628,24,25.343,6.992,22.742,14.082,11.324,21.769
1729692171365,24,25.386,6.972,22.171,14.214,11.179,21.816
1729692172128,24,25.285,6.925,21.839,14.292,11.273,21.742
1729692172904,24,25.339,6.644,22.132,14.011,11.261,21.683
1729692173659,24,25.312,6.785,22.386,14.023,11.23,21.691
1729692174421,24,25.449,7.062,22.199,14.183,11.136,21.746
1729692175194,24,25.25,6.863,22.089,13.953,11.285,21.652
1729692175965,24,25.429,6.933,22.539,14.113,11.16,21.742
1729692176741,24,25.453,6.66,22.523,14.144,11.187,21.687
1729692177496,24,25.425,6.828,22.253,14.16,11.222,inf
1729692178257,24,25.207,6.785,22.515,14.031,11.152,21.656
1729692179027,24,25.179,7.007,22.703,14.109,11.308,21.769
1729692179793,24,25.207,6.695,22.058,14.011,11.23,21.687
1729692180575,24,25.253,6.753,22.351,14.007,11.031,21.792
1729692181335,24,25.351,6.777,22.835,14.207,inf,21.816
1729692182097,24,25.296,6.875,22.742,14.226,11.117,21.777
1729692182868,24,25.32,6.886,22.902,14.289,11.335,21.726
1729692183757,24,25.304,6.574,22.386,14.292,11.238,21.695
1729692184532,24,25.296,6.988,22.722,14.078,11.121,21.687
1729692185293,24,25.289,6.863,21.488,14.011,11.316,21.746
1729692186051,24,25.277,6.937,21.3,14.175,11.296,21.628
1729692186919,24,25.519,7.0,21.804,14.238,11.097,21.746
1729692187693,24,25.347,6.562,22.019,14.261,11.21,21.824
1729692188456,24,25.085,6.914,22.214,14.132,11.214,21.773
1729692189224,24,25.347,6.816,22.156,14.261,11.078,21.652
1729692190055,24,25.214,6.925,22.296,14.214,11.207,21.781
1729692190826,24,25.335,6.976,22.73,14.113,11.265,21.863
1729692191595,24,25.281,7.015,21.925,14.21,11.117,21.652
1729692192355,24,25.32,6.984,22.308,14.179,inf,21.835
1729692193222,24,25.425,6.882,21.914,14.304,11.183,21.695
1729692193955,24,inf,6.808,22.031,14.109,11.246,21.699
1729692194716,24,25.488,6.757,22.984,13.96,11.132,21.699
1729692195563,24,25.164,6.777,22.339,14.05,11.167,21.664
1729692196357,24,25.281,6.695,22.679,14.14,11.214,21.699
1729692197114,24,25.152,6.843,22.562,14.089,11.203,21.832
1729692197873,24,25.351,6.785,22.277,14.117,11.25,21.863
1729692198637,24,25.214,7.207,22.691,14.156,11.148,21.789
1729692199401,24,25.347,6.898,22.683,14.183,inf,21.757
1729692200156,24,25.246,6.617,21.035,14.144,11.175,21.769
1729692200911,24,25.324,7.039,22.859,13.96,11.152,21.707
1729692201681,24,25.425,7.035,22.546,14.125,11.183,21.691
1729692202463,24,25.335,6.765,22.617,14.3,11.183,21.777
1729692203214,24,25.335,6.671,21.824,14.179,11.195,21.773
1729692203976,24,25.269,7.07,22.066,14.179,11.179,21.617
1729692204832,24,25.187,7.152,22.3,14.3,10.929,21.761
1729692205610,24,25.445,6.972,21.871,14.187,11.218,21.632
1729692206372,24,25.332,7.066,22.25,14.281,11.218,21.769
1729692207129,24,25.488,6.82,22.253,14.109,11.21,21.714
1729692207879,24,25.312,7.023,22.031,14.109,11.269,21.687
1729692208716,24,25.269,7.035,22.445,14.097,11.269,21.73
1729692209475,24,25.238,7.234,22.488,14.203,11.238,21.757
1729692210239,24,25.234,6.902,22.312,14.148,11.207,21.773
1729692211000,24,25.328,6.921,22.265,14.367,11.113,21.765
1729692211843,24,25.476,7.078,22.765,14.183,11.371,21.648
1729692212610,24,25.316,7.027,22.55,14.136,11.164,21.656
1729692213376,24,25.304,6.703,22.441,14.125,11.296,21.636
1729692214128,24,25.414,6.765,22.152,14.042,11.183,21.734
1729692214968,24,25.253,6.828,22.531,13.98,11.285,21.722
1729692215819,24,25.16,7.023,21.925,15.156,11.109,21.71
1729692216583,24,25.402,6.925,22.71,14.14,11.246,21.617
